Hydrogen,nonmetal
Helium,noble gas
Lithium,alkali metal
Beryllium,alkaline earth metal
Boron,metalloid
Carbon,nonmetal
Nitrogen,nonmetal
Oxygen,nonmetal
Fluorine,halogen
Neon,noble gas
Sodium,alkali metal
Magnesium,alkaline earth metal
Aluminum,post transition metal
Silicon,metalloid
Phosphorus,nonmetal
Sulfur,nonmetal
Chlorine,halogen
Argon,noble gas
Potassium,alkali metal
Calcium,alkaline earth metal
Scandium,transition metal
Titanium,transition metal
Vanadium,transition metal
Chromium,transition metal
Manganese,transition metal
Iron,transition metal
Cobalt,transition metal
Nickel,transition metal
Copper,transition metal
Zinc,transition metal
Gallium,post transition metal
Germanium,metalloid
Arsenic,metalloid
Selenium,nonmetal
Bromine,halogen
Krypton,noble gas
Rubidium,alkali metal
Strontium,alkaline earth metal
Yttrium,transition metal
Zirconium,transition metal
Niobium,transition metal
Molybdenum,transition metal
Technetium,transition metal
Ruthenium,transition metal
Rhodium,transition metal
Palladium,transition metal
Silver,transition metal
Cadmium,transition metal
Indium,post transition metal
Tin,post transition metal
Antimony,metalloid
Tellurium,metalloid
Iodine,halogen
Xenon,noble gas
Cesium,alkali metal
Barium,alkaline earth metal
Lanthanum,lanthanide
Cerium,lanthanide
Praseodymium,lanthanide
Neodymium,lanthanide
Promethium,lanthanide
Samarium,lanthanide
Europium,lanthanide
Gadolinium,lanthanide
Terbium,lanthanide
Dysprosium,lanthanide
Holmium,lanthanide
Erbium,lanthanide
Thulium,lanthanide
Ytterbium,lanthanide
Lutetium,lanthanide
Hafnium,transition metal
Tantalum,transition metal
Tungsten,transition metal
Rhenium,transition metal
Osmium,transition metal
Iridium,transition metal
Platinum,transition metal
Gold,transition metal
Mercury,transition metal
Thallium,post transition metal
Lead,post transition metal
Bismuth,post transition metal
Polonium,metalloid
Astatine,halogen
Radon,noble gas
Francium,alkali metal
Radium,alkaline earth metal
Actinium,actinide
Thorium,actinide
Protactinium,actinide
Uranium,actinide
Neptunium,actinide
Plutonium,actinide
Americium,actinide
Curium,actinide
Berkelium,actinide
Californium,actinide
Einsteinium,actinide
Fermium,actinide
Mendelevium,actinide
Nobelium,actinide
Lawrencium,actinide
Rutherfordium,transition metal
Dubnium,transition metal
Seaborgium,transition metal
Bohrium,transition metal
Hassium,transition metal
Meitnerium,transition metal
Darmstadtium,transition metal
Roentgenium,transition metal
Copernicium,transition metal
Nihonium,post transition metal
Flerovium,post transition metal
Moscovium,post transition metal
Livermorium,post transition metal
Tennessine,halogen
Oganesson,noble gas